Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0.0,-1.36,-0.073,2.536,1.378,-0.338,0.462,0.24,0.099,0.364,0.091,-0.552,-0.618,-0.991,-0.311,1.468,-0.47,0.208,0.026,0.404,0.251,-0.018,0.278,-0.11,0.067,0.129,-0.189,0.134,-0.021,149.62,0
0.0,1.192,0.266,0.166,0.448,0.06,-0.082,-0.079,0.085,-0.255,-0.167,1.613,1.065,0.489,-0.144,0.636,0.464,-0.115,-0.183,-0.146,-0.069,-0.226,-0.639,0.101,-0.34,0.167,0.126,-0.009,0.015,2.69,0
1.0,-1.358,-1.34,1.773,0.38,-0.503,1.8,0.791,0.248,-1.515,0.208,0.625,0.066,0.717,-0.166,2.346,-2.89,1.11,-0.121,-2.262,0.525,0.248,0.772,0.909,-0.689,-0.328,-0.139,-0.055,-0.06,378.66,0
1.0,-0.966,-0.185,1.793,-0.863,-0.01,1.247,0.238,0.377,-1.387,-0.055,-0.226,0.178,0.508,-0.288,-0.631,-1.06,-0.684,1.966,-1.233,-0.208,-0.108,0.005,-0.19,-1.176,0.647,-0.222,0.063,0.061,123.5,0
2.0,-1.158,0.878,1.549,0.403,-0.407,0.096,0.593,-0.271,0.818,0.753,-0.823,0.538,1.346,-1.12,0.175,-0.451,-0.237,-0.038,0.803,0.409,-0.009,0.798,-0.137,0.141,-0.206,0.502,0.219,0.215,69.99,0
2.0,-0.426,0.961,1.141,-0.168,0.421,-0.03,0.476,0.26,-0.569,-0.371,1.341,0.36,-0.358,-0.137,0.518,0.402,-0.058,0.069,-0.033,0.085,-0.208,-0.56,-0.026,-0.371,-0.233,0.106,0.254,0.081,3.67,0
4.0,1.23,0.141,0.045,1.203,0.192,0.273,-0.005,0.081,0.465,-0.099,-1.417,-0.154,-0.751,0.167,0.05,-0.444,0.003,-0.612,-0.046,-0.22,-0.168,-0.271,-0.154,-0.78,0.75,-0.257,0.035,0.005,4.99,0
7.0,-0.644,1.418,1.074,-0.492,0.949,0.428,1.121,-3.808,0.615,1.249,-0.619,0.291,1.758,-1.324,0.686,-0.076,-1.222,-0.358,0.325,-0.157,1.943,-1.015,0.058,-0.65,-0.415,-0.052,-1.207,-1.085,40.8,0
7.0,-0.894,0.286,-0.113,-0.272,2.67,3.722,0.37,0.851,-0.392,-0.41,-0.705,-0.11,-0.286,0.074,-0.329,-0.21,-0.5,0.119,0.57,0.053,-0.073,-0.268,-0.204,1.012,0.373,-0.384,0.012,0.142,93.2,0
9.0,-0.338,1.12,1.044,-0.222,0.499,-0.247,0.652,0.07,-0.737,-0.367,1.018,0.836,1.007,-0.444,0.15,0.739,-0.541,0.477,0.452,0.204,-0.247,-0.634,-0.121,-0.385,-0.07,0.094,0.246,0.083,3.68,0
10.0,1.449,-1.176,0.914,-1.376,-1.971,-0.629,-1.423,0.048,-1.72,1.627,1.2,-0.671,-0.514,-0.095,0.231,0.032,0.253,0.854,-0.221,-0.387,-0.009,0.314,0.028,0.501,0.251,-0.129,0.043,0.016,7.8,0
10.0,0.385,0.616,-0.874,-0.094,2.925,3.317,0.47,0.538,-0.559,0.31,-0.259,-0.326,-0.09,0.363,0.929,-0.129,-0.81,0.36,0.708,0.126,0.05,0.238,0.009,0.997,-0.767,-0.492,0.042,-0.054,9.99,0
10.0,1.25,-1.222,0.384,-1.235,-1.485,-0.753,-0.689,-0.227,-2.094,1.324,0.228,-0.243,1.205,-0.318,0.726,-0.816,0.874,-0.848,-0.683,-0.103,-0.232,-0.483,0.085,0.393,0.161,-0.355,0.026,0.042,121.5,0
11.0,1.069,0.288,0.829,2.713,-0.178,0.338,-0.097,0.116,-0.221,0.46,-0.774,0.323,-0.011,-0.178,-0.656,-0.2,0.124,-0.98,-0.983,-0.153,-0.037,0.074,-0.071,0.105,0.548,0.104,0.021,0.021,27.5,0
12.0,-2.792,-0.328,1.642,1.767,-0.137,0.808,-0.423,-1.907,0.756,1.151,0.845,0.793,0.37,-0.735,0.407,-0.303,-0.156,0.778,2.222,-1.582,1.152,0.222,1.021,0.028,-0.233,-0.236,-0.165,-0.03,58.8,0
12.0,-0.752,0.345,2.057,-1.469,-1.158,-0.078,-0.609,0.004,-0.436,0.748,-0.794,-0.77,1.048,-1.067,1.107,1.66,-0.279,-0.42,0.433,0.263,0.5,1.354,-0.257,-0.065,-0.039,-0.087,-0.181,0.129,15.99,0
12.0,1.103,-0.04,1.267,1.289,-0.736,0.288,-0.586,0.189,0.782,-0.268,-0.45,0.937,0.708,-0.469,0.355,-0.247,-0.009,-0.596,-0.576,-0.114,-0.025,0.196,0.014,0.104,0.364,-0.382,0.093,0.037,12.99,0
13.0,-0.437,0.919,0.925,-0.727,0.916,-0.128,0.708,0.088,-0.665,-0.738,0.324,0.277,0.253,-0.292,-0.185,1.143,-0.929,0.68,0.025,-0.047,-0.195,-0.673,-0.157,-0.888,-0.342,-0.049,0.08,0.131,0.89,0
14.0,-5.401,-5.45,1.186,1.736,3.049,-1.763,-1.56,0.161,1.233,0.345,0.917,0.97,-0.267,-0.479,-0.527,0.472,-0.725,0.075,-0.407,-2.197,-0.504,0.984,2.459,0.042,-0.482,-0.621,0.392,0.95,46.8,0
15.0,1.493,-1.029,0.455,-1.438,-1.555,-0.721,-1.081,-0.053,-1.979,1.638,1.078,-0.632,-0.417,0.052,-0.043,-0.166,0.304,0.554,0.054,-0.388,-0.178,-0.175,0.04,0.296,0.333,-0.22,0.022,0.008,5.0,0
16.0,0.695,-1.362,1.029,0.834,-1.191,1.309,-0.879,0.445,-0.446,0.569,1.019,1.298,0.42,-0.373,-0.808,-2.045,0.516,0.626,-1.3,-0.138,-0.296,-0.572,-0.051,-0.304,0.072,-0.422,0.087,0.063,231.71,0
17.0,0.962,0.328,-0.171,2.109,1.13,1.696,0.108,0.522,-1.191,0.724,1.69,0.407,-0.936,0.984,0.711,-0.602,0.402,-1.737,-2.028,-0.269,0.144,0.402,-0.049,-1.372,0.391,0.2,0.016,-0.015,34.09,0
18.0,1.167,0.502,-0.067,2.262,0.429,0.089,0.241,0.138,-0.989,0.922,0.745,-0.531,-2.105,1.127,0.003,0.424,-0.454,-0.099,-0.817,-0.307,0.019,-0.062,-0.104,-0.37,0.603,0.109,-0.041,-0.011,2.28,0
18.0,0.247,0.278,1.185,-0.093,-1.314,-0.15,-0.946,-1.618,1.544,-0.83,-0.583,0.525,-0.453,0.081,1.555,-1.397,0.783,0.437,2.178,-0.231,1.65,0.2,-0.185,0.423,0.821,-0.228,0.337,0.25,22.75,0
22.0,-1.947,-0.045,-0.406,-1.013,2.942,2.955,-0.063,0.856,0.05,0.574,-0.081,-0.216,0.044,0.034,1.191,0.579,-0.976,0.044,0.489,-0.217,-0.58,-0.799,0.87,0.983,0.321,0.15,0.708,0.015,0.89,0
22.0,-2.074,-0.121,1.322,0.41,0.295,-0.96,0.544,-0.105,0.476,0.149,-0.857,-0.181,-0.655,-0.28,-0.212,-0.333,0.011,-0.488,0.506,-0.387,-0.404,-0.227,0.742,0.399,0.249,0.274,0.36,0.243,26.43,0
23.0,1.173,0.353,0.284,1.134,-0.173,-0.916,0.369,-0.327,-0.247,-0.046,-0.143,0.979,1.492,0.101,0.761,-0.015,-0.512,-0.325,-0.391,0.028,0.067,0.228,-0.15,0.435,0.725,-0.337,0.016,0.03,41.88,0
23.0,1.323,-0.174,0.435,0.576,-0.837,-0.831,-0.265,-0.221,-1.071,0.869,-0.642,-0.111,0.361,0.172,0.782,-1.356,-0.217,1.272,-1.241,-0.523,-0.284,-0.323,-0.038,0.347,0.56,-0.28,0.042,0.029,16.0,0
23.0,-0.414,0.905,1.727,1.473,0.007,-0.2,0.74,-0.029,-0.593,-0.346,-0.012,0.787,0.636,-0.086,0.077,-1.406,0.776,-0.943,0.544,0.097,0.077,0.457,-0.038,0.643,-0.184,-0.277,0.183,0.153,33.0,0
23.0,1.059,-0.175,1.266,1.186,-0.786,0.578,-0.767,0.401,0.699,-0.065,1.048,1.006,-0.542,-0.04,-0.219,0.004,-0.194,0.042,-0.278,-0.178,0.014,0.214,0.014,0.003,0.295,-0.395,0.081,0.024,12.99,0
24.0,1.237,0.061,0.381,0.762,-0.36,-0.494,0.006,-0.134,0.439,-0.207,-0.929,0.527,0.349,-0.153,-0.218,-0.192,-0.117,-0.634,0.348,-0.066,-0.246,-0.531,-0.044,0.079,0.509,0.289,-0.023,0.012,17.28,0
25.0,1.114,0.086,0.494,1.336,-0.3,-0.011,-0.119,0.189,0.206,0.082,1.134,0.627,-1.493,0.521,-0.675,-0.529,0.158,-0.399,-0.146,-0.274,-0.053,-0.005,-0.031,0.198,0.565,-0.338,0.029,0.004,4.45,0
26.0,-0.53,0.874,1.347,0.145,0.414,0.1,0.711,0.176,-0.287,-0.485,0.872,0.852,-0.572,0.101,-1.52,-0.284,-0.311,-0.404,-0.823,-0.29,0.047,0.208,-0.186,0.001,0.099,-0.553,-0.073,0.023,6.14,0
26.0,-0.53,0.874,1.347,0.145,0.414,0.1,0.711,0.176,-0.287,-0.485,0.872,0.852,-0.572,0.101,-1.52,-0.284,-0.311,-0.404,-0.823,-0.29,0.047,0.208,-0.186,0.001,0.099,-0.553,-0.073,0.023,6.14,0
26.0,-0.535,0.865,1.351,0.148,0.434,0.087,0.693,0.18,-0.286,-0.482,0.872,0.853,-0.572,0.102,-1.52,-0.286,-0.31,-0.404,-0.824,-0.283,0.05,0.207,-0.187,0.001,0.098,-0.553,-0.078,0.025,1.77,0
26.0,-0.535,0.865,1.351,0.148,0.434,0.087,0.693,0.18,-0.286,-0.482,0.872,0.853,-0.572,0.102,-1.52,-0.286,-0.31,-0.404,-0.824,-0.283,0.05,0.207,-0.187,0.001,0.098,-0.553,-0.078,0.025,1.77,0
27.0,-0.246,0.473,1.696,0.262,-0.011,-0.611,0.794,-0.247,0.139,-0.401,-0.812,-0.184,-0.63,-0.286,-0.337,-0.428,-0.031,-0.505,0.355,0.046,-0.195,-0.335,-0.078,0.393,-0.031,0.198,-0.175,-0.204,30.49,0
27.0,-1.452,1.765,0.612,1.177,-0.446,0.247,-0.258,1.092,-0.608,0.047,0.784,1.096,-0.268,0.769,-0.524,-0.809,0.71,-0.118,0.979,0.009,0.082,0.326,-0.069,0.021,-0.045,-0.243,0.149,0.121,1.8,0
29.0,0.996,-0.123,0.547,0.707,0.135,1.157,-0.295,0.407,0.338,-0.408,0.683,1.254,0.392,-0.038,0.795,-1.668,1.323,-2.83,-1.463,-0.203,-0.076,0.109,0.162,-0.576,0.11,0.374,0.051,0.005,20.53,0
29.0,1.111,0.169,0.517,1.325,-0.192,0.02,-0.032,0.118,0.018,0.045,1.345,1.286,-0.252,0.274,-0.81,-0.587,0.087,-0.55,-0.155,-0.19,-0.038,0.096,-0.048,0.232,0.606,-0.342,0.037,0.007,6.54,0
32.0,1.249,-0.625,-0.711,-0.992,1.43,3.693,-1.09,0.967,0.85,-0.307,-0.456,0.23,-0.017,-0.221,0.362,0.315,-0.512,0.119,0.575,0.098,-0.006,0.009,-0.129,1.113,0.5,1.197,-0.048,0.005,29.89,0
32.0,-2.009,2.199,0.144,1.159,-0.815,0.182,-0.617,1.531,-0.587,0.13,0.658,1.265,-0.207,1.014,-0.549,-0.708,0.87,-0.096,0.944,0.029,0.095,0.295,0.011,0.015,0.034,-0.236,0.128,0.118,2.35,0
33.0,-0.608,1.031,1.74,1.232,0.419,0.119,0.851,-0.176,-0.244,0.148,-0.387,0.398,0.482,-0.365,0.236,-1.348,0.505,-0.798,0.76,0.254,-0.087,0.258,-0.265,0.118,0.174,-0.217,0.094,-0.033,14.8,0
33.0,-0.936,0.17,2.746,-1.078,-0.306,0.012,-0.296,0.403,-0.04,-0.852,1.552,0.954,0.415,-0.234,0.452,0.844,-0.823,0.339,-1.214,-0.005,0.401,1.065,-0.158,0.296,-0.259,0.754,0.047,0.094,9.1,0
34.0,-0.762,0.128,2.65,-1.876,-0.893,-0.269,-0.42,0.146,-0.87,-0.039,-0.686,-0.503,1.381,-1.039,0.653,1.899,-0.458,-0.56,-0.295,0.359,0.433,1.26,-0.405,0.095,0.481,-0.091,0.319,0.136,15.99,0
34.0,1.138,0.057,0.649,0.873,-0.468,-0.41,-0.014,-0.072,0.307,-0.27,-0.003,1.124,0.744,-0.188,-0.076,-0.709,0.381,-1.372,-0.274,-0.078,-0.164,-0.247,0.059,0.456,0.361,0.274,-0.002,0.017,21.34,0
34.0,-0.292,0.446,1.25,-1.736,0.086,-0.122,0.408,0.095,0.816,-1.491,-0.846,0.057,-0.059,0.152,1.983,-0.443,-0.318,0.065,0.614,-0.034,-0.065,-0.12,-0.157,-0.8,-0.001,-0.835,0.131,0.063,18.95,0
34.0,0.202,0.497,1.374,0.571,-0.631,-0.54,-0.076,-0.917,0.27,-0.48,-0.513,0.681,0.09,-0.157,-0.589,-0.478,0.225,-0.669,-0.024,-0.222,0.719,-0.172,-0.166,0.776,0.818,0.443,0.143,0.219,9.99,0
35.0,1.386,-0.794,0.778,-0.865,-1.064,0.351,-1.191,0.053,-0.304,0.577,-1.631,0.043,2.048,-0.739,1.456,-0.272,-0.932,1.927,-0.66,-0.273,-0.229,-0.124,-0.131,-0.93,0.181,1.195,0.001,0.02,30.9,0
35.0,-1.063,1.418,1.087,1.241,0.002,0.046,0.514,0.241,-0.154,0.281,-0.532,0.59,0.555,-0.116,0.166,-1.237,0.638,-0.776,0.693,0.235,-0.057,0.314,-0.13,0.114,-0.028,-0.26,0.119,-0.009,20.22,0
35.0,1.199,0.13,0.864,1.003,-0.784,-0.885,-0.041,-0.208,0.392,-0.248,-0.095,1.314,1.092,-0.409,-0.578,-0.581,0.212,-0.893,-0.021,-0.073,-0.042,0.198,-0.033,1.013,0.559,0.402,-0.006,0.018,0.99,0
36.0,-1.005,-0.986,-0.038,3.71,-6.632,5.122,4.372,-2.007,-0.279,-0.231,0.145,-0.063,-0.8,-0.342,-0.931,0.511,0.092,0.824,1.19,-0.002,1.393,-0.382,0.97,0.019,0.571,0.333,0.857,-0.076,1402.95,0
36.0,-1.169,1.158,1.407,0.86,-0.104,0.122,0.264,-0.109,-0.182,0.66,0.456,-0.098,-0.346,0.21,2.345,-1.173,0.86,-1.154,0.859,-0.121,0.024,-0.12,0.213,0.088,-0.947,0.227,-0.81,0.235,7.99,0
36.0,1.096,-0.116,1.398,1.498,-1.049,0.073,-0.724,0.288,0.996,-0.149,-0.508,-0.028,-1.322,-0.062,0.506,-0.209,0.208,-0.471,-0.736,-0.275,-0.033,0.093,0.089,0.361,0.251,-0.378,0.081,0.034,2.09,0
37.0,1.296,0.341,0.082,0.567,-0.11,-0.766,0.073,-0.168,0.072,-0.281,-0.55,0.049,0.304,-0.317,1.135,0.636,-0.2,-0.122,0.005,-0.066,-0.324,-0.93,0.064,-0.194,0.288,0.128,-0.024,0.025,0.99,0
38.0,0.158,0.873,0.966,1.802,0.139,0.111,0.559,-0.029,-0.395,0.033,-0.501,0.632,0.755,-0.048,0.348,-1.494,0.757,-0.684,1.303,0.09,0.116,0.692,0.121,0.116,-1.113,-0.303,0.328,0.256,21.76,0
39.0,-0.554,0.216,0.844,-0.753,0.035,-0.559,1.09,-0.204,0.262,-1.355,-0.095,0.954,0.837,0.145,1.157,-1.933,0.741,-0.514,1.567,0.383,0.212,0.702,-0.006,0.147,0.246,-0.44,0.147,0.139,120.96,0
39.0,-1.331,0.268,-0.168,-0.701,3.282,3.216,-0.059,0.895,-0.018,-0.166,-0.765,-0.016,-0.357,-0.041,-0.735,0.031,-0.778,-0.015,-0.153,-0.114,-0.151,-0.312,-0.375,1.015,0.354,-0.51,0.159,0.229,13.84,0
40.0,1.111,0.082,0.406,1.291,-0.17,0.121,-0.081,0.174,0.152,0.065,1.025,0.793,-1.015,0.423,-0.707,-0.488,0.059,-0.384,-0.074,-0.22,-0.056,-0.012,-0.07,0.004,0.604,-0.327,0.03,0.005,13.84,0
41.0,1.154,0.265,0.385,0.575,-0.217,-0.392,-0.081,0.063,-0.261,-0.162,2.053,1.131,0.189,-0.071,0.619,0.319,0.09,-0.331,-0.345,-0.1,-0.193,-0.558,0.169,0.187,0.089,0.094,-0.01,0.02,2.67,0
41.0,0.986,-0.203,-0.493,0.408,0.306,-0.231,0.585,-0.208,-0.248,-0.192,-0.628,0.43,0.811,0.372,1.026,-0.029,-0.308,-1.1,0.011,0.264,-0.306,-1.217,-0.078,-0.741,0.287,0.2,-0.075,0.027,169.05,0
41.0,1.139,-1.193,1.407,-0.33,-2.07,-0.242,-1.307,0.105,0.135,0.494,-0.895,-0.183,0.146,-0.587,0.797,-0.892,-0.079,1.542,-0.984,-0.299,-0.156,-0.031,-0.02,0.434,-0.03,1.141,-0.009,0.042,96.94,0
41.0,1.146,0.575,0.194,2.598,-0.092,-1.044,0.532,-0.242,-0.896,0.758,-0.449,-0.661,-1.309,0.789,0.32,0.295,-0.288,-0.451,-1.011,-0.191,0.011,-0.12,-0.077,0.691,0.634,0.049,-0.053,0.016,34.13,0
42.0,-0.249,0.399,0.068,-1.061,2.41,3.737,0.316,0.672,0.015,-0.27,-0.495,-0.162,-0.274,-0.276,-0.172,-0.119,-0.55,-0.148,0.772,0.108,-0.258,-0.617,-0.157,1.031,0.121,0.31,-0.288,-0.224,32.51,0
42.0,-0.523,1.01,0.276,1.475,-0.707,0.355,1.56,-0.4,-0.48,0.516,0.034,0.589,1.427,0.021,1.651,-0.961,0.246,-0.408,0.917,-0.013,0.172,1.012,0.07,0.158,-1.109,-0.302,0.318,0.317,243.66,0
44.0,-0.9,0.136,1.884,-0.209,1.051,1.905,0.241,0.648,-0.053,-0.504,1.255,-0.237,-2.518,0.385,0.344,-1.371,0.959,-1.607,-0.647,-0.122,-0.082,-0.017,-0.148,-1.385,-0.024,0.413,-0.107,-0.19,21.55,0
44.0,-0.715,0.515,1.822,0.616,0.849,-0.112,1.506,-0.798,0.245,0.265,-1.108,-0.36,-0.163,-0.784,-0.367,-0.653,-0.504,-0.261,0.435,0.107,-0.22,-0.018,-0.432,-0.13,0.337,-0.44,-0.675,-0.473,59.9,0
44.0,-0.949,0.248,2.957,2.814,0.146,-0.027,0.134,-0.308,-0.125,1.035,-0.533,-0.19,0.081,-0.939,0.081,-0.13,-0.174,-0.09,0.222,-0.056,-0.084,0.416,0.208,0.716,-0.602,-0.064,-0.315,-0.272,0.75,0
44.0,0.927,-0.324,0.388,0.544,0.247,1.65,-0.428,0.615,0.226,-0.225,1.945,1.385,-0.479,0.314,0.214,-1.334,1.003,-2.119,-1.053,-0.185,-0.041,0.079,0.097,-0.993,0.085,0.377,0.036,-0.006,45.71,0
46.0,-1.923,-0.87,2.32,1.989,0.417,-0.38,0.472,-0.557,-0.649,1.411,-0.518,-0.985,-0.401,-0.831,0.338,0.03,0.371,-1.054,1.89,-0.369,-0.686,-0.779,1.086,0.519,-0.364,3.066,-0.589,-0.396,35.0,0
46.0,1.007,-0.071,0.348,1.33,-0.193,0.155,0.009,0.147,0.104,0.032,1.071,0.941,-0.729,0.38,-0.729,-0.493,0.044,-0.405,-0.093,-0.091,-0.02,-0.019,-0.121,0.027,0.594,-0.335,0.021,0.015,67.97,0
46.0,-0.378,0.733,-0.12,0.186,2.594,3.797,0.059,0.977,-0.413,0.007,-0.625,-0.116,-0.215,0.14,0.16,-0.602,-0.144,0.222,1.455,0.316,-0.108,-0.157,-0.195,1.014,0.146,-0.238,0.411,0.203,11.45,0
47.0,1.198,0.237,0.51,0.658,-0.365,-0.745,0.079,-0.131,-0.052,-0.11,0.307,0.671,0.438,0.269,1.127,-0.197,0.008,-1.123,-0.591,-0.121,-0.15,-0.374,0.146,0.415,0.212,0.182,-0.016,0.016,3.63,0
48.0,-0.581,0.483,1.333,-0.253,-0.028,-0.519,0.503,0.118,0.117,-0.42,0.45,-0.018,-1.984,0.322,-1.425,0.125,-0.404,0.098,-0.021,-0.299,-0.042,-0.149,0.001,0.303,-0.681,-0.016,-0.006,0.164,21.66,0
